,flushes,l0compactions,other_compactions,read,write,qps
0,0.0,0.0,0.0,0.0,0.0,14266
1,0.0,0.0,0.0,0.0,0.0,14334
2,0.0,0.0,0.0,0.0,0.0,14045
3,0.0,0.0,0.0,0.0,0.0,14194
4,0.0,0.0,0.0,0.0,0.0,14218
5,0.0,0.0,0.0,0.0,0.0,14236
6,0.0,0.0,0.0,0.0,0.0,14290
7,0.0,0.0,0.0,0.0,0.0,13993
8,0.0,0.0,0.0,0.0,0.0,14102
9,0.0,0.0,0.0,0.0,0.0,14117
10,0.0,0.0,0.0,0.0,0.0,339964
11,1.0,0.0,0.0,0.0,254.71,302117
12,0.0,0.0,0.0,0.0,0.0,126621
13,0.0,0.0,0.0,0.0,0.0,260874
14,1.0,0.0,0.0,0.0,258.1,279154
15,0.0,0.0,0.0,0.0,0.0,120457
16,0.0,0.0,0.0,0.0,0.0,235179
17,0.0,0.0,0.0,0.0,0.0,270277
18,1.0,0.0,0.0,0.0,273.99,130825
19,0.0,0.0,0.0,0.0,0.0,198939
20,0.0,0.0,0.0,0.0,0.0,249273
21,1.0,1.0,0.0,142.66,404.63,180623
22,0.0,1.0,0.0,142.66,123.1,70589
23,0.0,0.0,0.0,0.0,0.0,81086
24,0.0,0.0,0.0,0.0,0.0,101318
25,0.0,0.0,0.0,0.0,0.0,142371
26,0.0,0.0,0.0,0.0,0.0,183842
27,1.0,0.0,0.0,0.0,277.95,113921
28,0.0,0.0,0.0,0.0,0.0,150948
29,0.0,0.0,0.0,0.0,0.0,229541
30,1.0,0.0,0.0,0.0,273.1,255444
31,1.0,0.0,0.0,0.0,273.1,88255
32,0.0,0.0,0.0,0.0,0.0,179009
33,0.0,0.0,0.0,0.0,0.0,219852
34,1.0,0.0,0.0,0.0,282.12,210408
35,0.0,0.0,0.0,0.0,0.0,70019
36,0.0,0.0,0.0,0.0,0.0,94180
37,0.0,0.0,0.0,0.0,0.0,96975
38,0.0,0.0,0.0,0.0,0.0,99728
39,0.0,0.0,0.0,0.0,0.0,95853
40,0.0,0.0,0.0,0.0,0.0,98487
41,1.0,0.0,0.0,0.0,219.82,98373
42,1.0,1.0,0.0,107.81,316.9,47734
43,0.0,1.0,0.0,107.81,97.08,58341
44,0.0,0.0,0.0,0.0,0.0,78771
45,0.0,0.0,0.0,0.0,0.0,93107
46,0.0,0.0,0.0,0.0,0.0,112515
47,0.0,0.0,0.0,0.0,0.0,136295
48,1.0,0.0,0.0,0.0,262.38,162294
49,1.0,0.0,0.0,0.0,262.38,93714
50,0.0,0.0,0.0,0.0,0.0,151262
51,0.0,0.0,0.0,0.0,0.0,217560
52,1.0,0.0,0.0,0.0,242.96,245829
53,1.0,0.0,0.0,0.0,242.96,107713
54,0.0,0.0,0.0,0.0,0.0,131624
55,0.0,0.0,0.0,0.0,0.0,149182
56,0.0,0.0,0.0,0.0,0.0,152179
57,1.0,0.0,0.0,0.0,281.47,141918
58,0.0,0.0,0.0,0.0,0.0,70180
59,0.0,0.0,0.0,0.0,0.0,93621
60,0.0,0.0,0.0,0.0,0.0,98361
61,0.0,0.0,0.0,0.0,0.0,95334
62,0.0,0.0,0.0,0.0,0.0,97908
63,0.0,0.0,0.0,0.0,0.0,99673
64,0.0,0.0,0.0,0.0,0.0,96097
65,1.0,1.0,0.0,116.83,387.24,51418
66,0.0,1.0,0.0,116.83,106.9,49734
67,0.0,1.0,0.0,116.83,106.9,58064
68,0.0,0.0,0.0,0.0,0.0,71896
69,0.0,0.0,0.0,0.0,0.0,95691
70,0.0,0.0,0.0,0.0,0.0,109227
71,0.0,0.0,0.0,0.0,0.0,142803
72,1.0,0.0,0.0,0.0,276.15,155517
73,0.0,0.0,0.0,0.0,0.0,91868
74,0.0,0.0,0.0,0.0,0.0,169594
75,0.0,0.0,0.0,0.0,0.0,219737
76,1.0,0.0,0.0,0.0,278.17,223487
77,0.0,0.0,0.0,0.0,0.0,77664
78,0.0,0.0,0.0,0.0,0.0,139690
79,0.0,0.0,0.0,0.0,0.0,156012
80,0.0,0.0,0.0,0.0,0.0,156098
81,1.0,0.0,0.0,0.0,281.51,136282
82,0.0,0.0,0.0,0.0,0.0,58150
83,0.0,0.0,0.0,0.0,0.0,77062
84,0.0,0.0,0.0,0.0,0.0,98114
85,0.0,0.0,0.0,0.0,0.0,99168
86,0.0,0.0,0.0,0.0,0.0,95787
87,0.0,0.0,0.0,0.0,0.0,96213
88,0.0,0.0,0.0,0.0,0.0,91980
89,1.0,1.0,0.0,120.35,383.31,68197
90,0.0,1.0,0.0,120.35,111.0,45803
91,0.0,1.0,0.0,120.35,111.0,54772
92,0.0,1.0,0.0,120.35,111.0,69132
93,0.0,0.0,0.0,0.0,0.0,69723
94,0.0,0.0,0.0,0.0,0.0,87915
95,0.0,0.0,0.0,0.0,0.0,112267
96,0.0,0.0,0.0,0.0,0.0,141489
97,1.0,0.0,0.0,0.0,281.69,126920
98,0.0,0.0,0.0,0.0,0.0,85859
99,0.0,0.0,0.0,0.0,0.0,169153
100,0.0,0.0,0.0,0.0,0.0,219452
101,1.0,0.0,0.0,0.0,279.73,216724
102,0.0,0.0,0.0,0.0,0.0,77753
103,0.0,0.0,0.0,0.0,0.0,135080
104,0.0,0.0,0.0,0.0,0.0,150893
105,0.0,0.0,0.0,0.0,0.0,154544
106,1.0,0.0,0.0,0.0,283.77,141740
107,0.0,0.0,0.0,0.0,0.0,58540
108,0.0,0.0,0.0,0.0,0.0,78946
109,0.0,0.0,0.0,0.0,0.0,79399
110,0.0,0.0,0.0,0.0,0.0,88963
111,0.0,0.0,0.0,0.0,0.0,86397
112,0.0,0.0,0.0,0.0,0.0,93806
113,0.0,0.0,0.0,0.0,0.0,91720
114,1.0,0.0,0.0,0.0,253.39,94002
115,1.0,1.0,0.0,110.43,361.45,43888
116,0.0,1.0,0.0,110.43,108.06,53463
117,0.0,1.0,0.0,110.43,108.06,58794
118,0.0,1.0,0.0,110.43,108.06,59514
119,0.0,0.0,0.0,0.0,0.0,60812
120,0.0,0.0,0.0,0.0,0.0,77452
121,0.0,0.0,0.0,0.0,0.0,99469
122,0.0,0.0,0.0,0.0,0.0,125555
123,1.0,0.0,0.0,0.0,281.6,137285
124,0.0,0.0,0.0,0.0,0.0,101708
125,0.0,0.0,0.0,0.0,0.0,170644
126,0.0,0.0,0.0,0.0,0.0,213178
127,1.0,0.0,0.0,0.0,281.8,211267
128,0.0,0.0,0.0,0.0,0.0,83305
129,0.0,0.0,0.0,0.0,0.0,117820
130,0.0,0.0,0.0,0.0,0.0,130916
131,0.0,0.0,0.0,0.0,0.0,138704
132,0.0,0.0,0.0,0.0,0.0,134887
133,1.0,0.0,0.0,0.0,283.9,84604
134,0.0,0.0,0.0,0.0,0.0,66334
135,0.0,0.0,0.0,0.0,0.0,74894
136,0.0,0.0,0.0,0.0,0.0,79642
137,0.0,0.0,0.0,0.0,0.0,86731
138,0.0,0.0,0.0,0.0,0.0,81242
139,0.0,0.0,0.0,0.0,0.0,84562
140,0.0,0.0,0.0,0.0,0.0,82971
141,1.0,0.0,0.0,0.0,282.97,90014
142,1.0,1.0,0.0,103.94,383.8,40155
143,0.0,1.0,0.0,103.94,100.83,52979
144,0.0,1.0,0.0,103.94,100.83,58596
145,0.0,1.0,0.0,103.94,100.83,54748
146,0.0,0.0,0.0,0.0,0.0,64566
147,0.0,0.0,0.0,0.0,0.0,63880
148,0.0,0.0,0.0,0.0,0.0,80824
149,0.0,0.0,0.0,0.0,0.0,105041
150,0.0,0.0,0.0,0.0,0.0,134567
151,1.0,0.0,0.0,0.0,282.3,90411
152,0.0,0.0,0.0,0.0,0.0,119880
153,0.0,0.0,0.0,0.0,0.0,144653
154,0.0,0.0,0.0,0.0,0.0,153683
155,0.0,0.0,0.0,0.0,0.0,151431
156,1.0,0.0,0.0,0.0,249.39,95196
157,0.0,0.0,0.0,0.0,0.0,64017
158,0.0,0.0,0.0,0.0,0.0,80483
159,0.0,0.0,0.0,0.0,0.0,86188
160,0.0,0.0,0.0,0.0,0.0,100184
161,0.0,0.0,0.0,0.0,0.0,99635
162,0.0,0.0,0.0,0.0,0.0,90304
163,0.0,0.0,0.0,0.0,0.0,100982
164,1.0,0.0,0.0,0.0,281.66,58669
165,0.0,0.0,0.0,0.0,0.0,55568
166,0.0,0.0,0.0,0.0,0.0,57495
167,0.0,0.0,0.0,0.0,0.0,62655
168,0.0,0.0,0.0,0.0,0.0,72850
169,0.0,0.0,0.0,0.0,0.0,68931
170,0.0,0.0,0.0,0.0,0.0,62880
171,0.0,0.0,0.0,0.0,0.0,64070
172,0.0,0.0,0.0,0.0,0.0,61718
173,0.0,0.0,0.0,0.0,0.0,61759
174,0.0,0.0,0.0,0.0,0.0,61458
175,1.0,1.0,0.0,108.98,387.18,44155
176,0.0,1.0,0.0,108.98,104.98,38632
177,0.0,1.0,0.0,108.98,104.98,46938
178,0.0,1.0,1.0,219.92000000000002,202.60000000000002,49545
179,0.0,0.0,1.0,110.94,97.62,56771
180,0.0,0.0,0.0,0.0,0.0,57841
181,0.0,0.0,0.0,0.0,0.0,65912
182,0.0,0.0,0.0,0.0,0.0,73451
183,0.0,0.0,0.0,0.0,0.0,98305
184,0.0,0.0,0.0,0.0,0.0,123341
185,1.0,0.0,0.0,0.0,284.63,101246
186,0.0,0.0,0.0,0.0,0.0,99499
187,0.0,0.0,0.0,0.0,0.0,112230
188,0.0,0.0,0.0,0.0,0.0,121059
189,0.0,0.0,0.0,0.0,0.0,123982
190,0.0,0.0,0.0,0.0,0.0,126041
191,1.0,0.0,0.0,0.0,269.63,89788
192,0.0,0.0,0.0,0.0,0.0,45800
193,0.0,0.0,0.0,0.0,0.0,73808
194,0.0,0.0,0.0,0.0,0.0,72646
195,0.0,0.0,0.0,0.0,0.0,87848
196,0.0,0.0,0.0,0.0,0.0,76685
197,0.0,0.0,0.0,0.0,0.0,92006
198,0.0,0.0,0.0,0.0,0.0,88223
199,0.0,0.0,0.0,0.0,0.0,88469
200,1.0,0.0,0.0,0.0,280.61,56892
201,0.0,0.0,0.0,0.0,0.0,43098
202,0.0,0.0,0.0,0.0,0.0,56060
203,0.0,0.0,0.0,0.0,0.0,55303
204,0.0,0.0,0.0,0.0,0.0,54189
205,0.0,0.0,0.0,0.0,0.0,54379
206,0.0,0.0,0.0,0.0,0.0,56648
207,0.0,0.0,0.0,0.0,0.0,49605
208,0.0,0.0,0.0,0.0,0.0,55458
209,0.0,0.0,0.0,0.0,0.0,63851
210,0.0,0.0,0.0,0.0,0.0,57149
211,0.0,0.0,0.0,0.0,0.0,54958
212,1.0,0.0,0.0,0.0,264.72,55209
213,1.0,1.0,0.0,143.7,402.58000000000004,32719
214,0.0,1.0,0.0,143.7,137.86,37192
215,0.0,1.0,1.0,332.38,308.78,36719
216,0.0,0.0,1.0,188.68,170.92,39344
217,0.0,0.0,0.0,0.0,0.0,42079
218,0.0,0.0,0.0,0.0,0.0,52511
219,0.0,0.0,0.0,0.0,0.0,56211
220,0.0,0.0,0.0,0.0,0.0,60353
221,0.0,0.0,0.0,0.0,0.0,87660
222,0.0,0.0,0.0,0.0,0.0,112013
223,0.0,0.0,0.0,0.0,0.0,109907
224,1.0,0.0,0.0,0.0,282.65,72631
225,0.0,0.0,0.0,0.0,0.0,60506
226,0.0,0.0,0.0,0.0,0.0,64125
227,0.0,0.0,0.0,0.0,0.0,75176
228,0.0,0.0,0.0,0.0,0.0,84913
229,0.0,0.0,0.0,0.0,0.0,76731
230,0.0,0.0,0.0,0.0,0.0,74973
231,0.0,0.0,0.0,0.0,0.0,72602
232,0.0,0.0,0.0,0.0,0.0,81201
233,1.0,0.0,0.0,0.0,265.17,69476
234,0.0,0.0,0.0,0.0,0.0,38397
235,0.0,0.0,0.0,0.0,0.0,40094
236,0.0,0.0,0.0,0.0,0.0,50197
237,0.0,0.0,0.0,0.0,0.0,57345
238,0.0,0.0,0.0,0.0,0.0,58215
239,0.0,0.0,0.0,0.0,0.0,49434
240,0.0,0.0,0.0,0.0,0.0,47532
241,0.0,0.0,0.0,0.0,0.0,56988
242,0.0,0.0,0.0,0.0,0.0,64390
243,0.0,0.0,0.0,0.0,0.0,49566
244,0.0,0.0,0.0,0.0,0.0,52871
245,0.0,0.0,0.0,0.0,0.0,58081
246,1.0,0.0,0.0,0.0,279.07,51159
247,0.0,0.0,0.0,0.0,0.0,27751
248,0.0,0.0,0.0,0.0,0.0,36794
249,0.0,0.0,0.0,0.0,0.0,42231
250,0.0,0.0,0.0,0.0,0.0,39214
251,0.0,0.0,0.0,0.0,0.0,43353
252,0.0,0.0,0.0,0.0,0.0,45515
253,0.0,0.0,0.0,0.0,0.0,40348
254,0.0,0.0,0.0,0.0,0.0,34430
255,0.0,0.0,0.0,0.0,0.0,40754
256,0.0,0.0,0.0,0.0,0.0,42206
257,0.0,0.0,0.0,0.0,0.0,40735
258,0.0,0.0,0.0,0.0,0.0,39848
259,0.0,0.0,0.0,0.0,0.0,37759
260,0.0,0.0,0.0,0.0,0.0,41326
261,0.0,0.0,0.0,0.0,0.0,34143
262,0.0,0.0,0.0,0.0,0.0,33292
263,0.0,0.0,0.0,0.0,0.0,34918
264,1.0,1.0,0.0,116.01,361.15999999999997,32610
265,0.0,1.0,0.0,116.01,111.62,27972
266,0.0,1.0,0.0,116.01,111.62,32447
267,0.0,1.0,0.0,116.01,111.62,36546
268,0.0,0.0,0.0,0.0,0.0,39875
