,flushes,l0compactions,other_compactions,read,write,qps
0,0.0,0.0,0.0,0.0,0.0,418891.0
1,0.0,0.0,0.0,0.0,0.0,363493.0
2,1.0,0.0,0.0,0.0,251.53,393346.0
3,1.0,0.0,0.0,0.0,251.53,389095.0
4,0.0,0.0,0.0,0.0,0.0,359593.0
5,1.0,0.0,0.0,0.0,280.95,414909.0
6,0.0,0.0,0.0,0.0,0.0,371838.0
7,1.0,0.0,0.0,0.0,265.73,388123.0
8,1.0,1.0,0.0,286.45,550.95,386465.0
9,0.0,1.0,0.0,286.45,285.22,363185.0
10,1.0,0.0,0.0,0.0,260.04,409617.0
11,0.0,0.0,0.0,0.0,0.0,379293.0
12,1.0,0.0,0.0,0.0,284.5,381622.0
13,1.0,0.0,0.0,0.0,284.5,404138.0
14,0.0,0.0,0.0,0.0,0.0,365015.0
15,1.0,1.0,0.0,298.09,571.48,409446.0
16,0.0,1.0,0.0,298.09,296.25,373896.0
17,1.0,1.0,0.0,298.09,573.9200000000001,370416.0
18,1.0,0.0,0.0,0.0,277.67,408725.0
19,0.0,0.0,0.0,0.0,0.0,371802.0
20,1.0,0.0,0.0,0.0,278.49,411460.0
21,0.0,0.0,0.0,0.0,0.0,385482.0
22,1.0,0.0,0.0,0.0,299.51,376130.0
23,1.0,1.0,0.0,280.14,577.9,400492.0
24,0.0,1.0,0.0,280.14,278.39,358417.0
25,1.0,1.0,1.0,526.93,705.99,393426.0
26,1.0,0.0,2.0,594.26,774.11,380517.0
27,0.0,0.0,1.0,347.47,346.51,356403.0
28,1.0,0.0,0.0,0.0,300.87,422820.0
29,0.0,0.0,0.0,0.0,0.0,373545.0
30,1.0,0.0,0.0,0.0,276.86,398859.0
31,1.0,1.0,0.0,277.09,552.36,384334.0
32,0.0,1.0,1.0,558.4,555.46,355237.0
33,1.0,0.0,1.0,281.31,467.34999999999997,403129.0
34,0.0,0.0,2.0,684.47,681.65,367799.0
35,1.0,0.0,1.0,403.16,763.88,377838.0
36,1.0,0.0,0.0,0.0,362.19,408359.0
37,0.0,0.0,0.0,0.0,0.0,368768.0
38,1.0,1.0,0.0,314.92,588.72,402439.0
39,0.0,1.0,0.0,314.92,312.98,369122.0
40,1.0,1.0,1.0,665.8,959.08,360479.0
41,1.0,0.0,2.0,746.97,1039.88,398451.0
42,0.0,0.0,2.0,777.0799999999999,772.8,356313.0
43,1.0,0.0,1.0,380.99,657.8,382181.0
44,0.0,0.0,1.0,380.99,379.02,379865.0
45,0.0,0.0,0.0,0.0,0.0,360780.0
46,1.0,1.0,0.0,297.68,648.64,407546.0
47,0.0,1.0,0.0,297.68,295.96,367061.0
48,1.0,1.0,1.0,603.0,861.93,378524.0
49,1.0,0.0,2.0,686.5699999999999,944.61,383063.0
50,0.0,0.0,1.0,381.25,378.64,354336.0
51,1.0,0.0,1.0,381.25,731.05,405856.0
52,0.0,0.0,0.0,0.0,0.0,382622.0
53,1.0,0.0,0.0,0.0,289.06,378401.0
54,1.0,1.0,0.0,332.57,619.5899999999999,392465.0
55,0.0,1.0,1.0,728.0899999999999,722.8399999999999,358403.0
56,1.0,0.0,1.0,395.52,741.45,390391.0
57,0.0,0.0,2.0,793.22,786.76,369885.0
58,0.0,0.0,1.0,397.7,394.45,354370.0
59,1.0,0.0,0.0,0.0,335.19,412823.0
60,0.0,0.0,0.0,0.0,0.0,373574.0
61,1.0,0.0,0.0,0.0,320.86,396347.0
62,1.0,1.0,0.0,327.57,646.38,378398.0
63,0.0,1.0,1.0,677.95,673.03,349416.0
64,1.0,0.0,1.0,350.38,591.96,395058.0
65,0.0,0.0,2.0,712.99,707.15,364333.0
66,1.0,0.0,2.0,725.31,1037.9699999999998,355325.0
67,1.0,0.0,2.0,751.0799999999999,1063.6799999999998,398872.0
68,0.0,0.0,1.0,388.38,385.35,360307.0
69,1.0,1.0,1.0,760.04,1098.49,383598.0
70,0.0,1.0,0.0,371.66,369.54,370307.0
71,0.0,1.0,1.0,744.85,739.4300000000001,345779.0
72,1.0,0.0,1.0,373.19,613.9,397675.0
73,0.0,0.0,2.0,721.76,715.3299999999999,357805.0
74,1.0,0.0,1.0,348.57,656.24,348762.0
75,1.0,0.0,1.0,348.57,656.24,401581.0
76,0.0,0.0,0.0,0.0,0.0,368855.0
77,1.0,1.0,0.0,336.48,664.58,398964.0
78,0.0,1.0,0.0,336.48,334.41,371414.0
79,0.0,1.0,1.0,733.05,727.95,344709.0
80,1.0,0.0,1.0,396.57,753.1,397780.0
81,0.0,0.0,2.0,729.3199999999999,723.36,355160.0
82,1.0,0.0,1.0,332.75,562.29,368738.0
83,1.0,0.0,2.0,662.02,888.75,390580.0
84,0.0,0.0,1.0,329.27,326.46,355101.0
85,1.0,1.0,1.0,641.44,866.6899999999999,351892.0
86,0.0,1.0,0.0,312.17,310.37,370329.0
87,0.0,1.0,1.0,642.6500000000001,638.0,346041.0
88,1.0,0.0,1.0,330.48,620.52,405506.0
89,0.0,0.0,2.0,661.83,655.88,364494.0
90,1.0,0.0,1.0,331.35,628.3399999999999,372727.0
91,1.0,0.0,1.0,331.35,628.3399999999999,387217.0
92,0.0,0.0,1.0,331.35,328.25,361261.0
93,1.0,1.0,0.0,320.55,632.01,402214.0
94,0.0,1.0,0.0,320.55,318.57,371169.0
95,1.0,1.0,1.0,610.8299999999999,832.46,354457.0
96,1.0,0.0,1.0,290.28,513.89,395790.0
97,0.0,0.0,2.0,592.0699999999999,586.95,345868.0
98,1.0,0.0,1.0,301.79,503.81999999999994,385254.0
99,1.0,0.0,1.0,301.79,503.81999999999994,390731.0
100,0.0,0.0,0.0,0.0,0.0,362512.0
101,1.0,1.0,0.0,366.76,692.23,403788.0
102,0.0,1.0,0.0,366.76,364.45,359825.0
103,1.0,1.0,2.0,1118.4299999999998,1444.83,365317.0
104,1.0,0.0,1.0,358.62,689.87,387864.0
105,0.0,0.0,2.0,682.15,674.3599999999999,356648.0
106,1.0,0.0,1.0,323.53,568.39,390186.0
107,0.0,0.0,1.0,323.53,320.34,368501.0
108,0.0,0.0,1.0,323.53,320.34,355658.0
109,1.0,1.0,0.0,342.1,660.83,414787.0
110,0.0,1.0,0.0,342.1,340.1,364176.0
111,1.0,1.0,1.0,657.87,923.95,380511.0
112,1.0,0.0,2.0,616.23,881.7499999999999,377459.0
113,0.0,0.0,1.0,300.46,297.9,352695.0
114,1.0,0.0,1.0,300.46,561.1099999999999,400987.0
115,0.0,0.0,1.0,305.55,302.82,367712.0
116,1.0,0.0,1.0,305.55,560.64,367159.0
117,1.0,0.0,1.0,305.55,560.64,397628.0
118,0.0,1.0,1.0,570.9200000000001,566.6700000000001,360588.0
119,1.0,1.0,0.0,265.37,460.81000000000006,345360.0
120,1.0,1.0,1.0,564.15,757.6000000000001,378680.0
121,0.0,0.0,1.0,298.78,296.79,354620.0
122,1.0,0.0,2.0,566.99,753.99,401091.0
123,0.0,0.0,2.0,560.28,556.29,364681.0
124,1.0,0.0,1.0,292.07,523.85,368946.0
125,1.0,0.0,1.0,292.07,523.85,397215.0
126,0.0,0.0,1.0,292.07,289.48,358090.0
127,1.0,1.0,1.0,570.76,768.47,385255.0
128,1.0,1.0,0.0,278.69,478.99,371292.0
129,0.0,1.0,1.0,559.4200000000001,556.23,347971.0
130,1.0,0.0,2.0,577.72,829.6499999999999,414759.0
131,0.0,0.0,1.0,296.99,294.34,364615.0
132,1.0,0.0,1.0,296.99,570.94,380334.0
133,1.0,1.0,1.0,588.79,860.9000000000001,378810.0
134,0.0,1.0,0.0,291.8,289.96,350219.0
135,1.0,1.0,1.0,582.76,766.72,400100.0
136,0.0,0.0,1.0,290.96,288.15,367636.0
137,1.0,0.0,2.0,571.4300000000001,789.49,363302.0
138,1.0,0.0,1.0,280.47,501.34000000000003,402188.0
139,0.0,0.0,1.0,280.47,277.61,359131.0
140,1.0,0.0,2.0,579.56,848.3499999999999,393059.0
141,1.0,0.0,1.0,299.09,570.74,379429.0
142,0.0,1.0,1.0,559.94,557.05,348675.0
143,1.0,1.0,0.0,260.85,438.97,399265.0
144,0.0,1.0,1.0,565.6500000000001,561.24,369193.0
145,1.0,0.0,1.0,304.8,579.24,378383.0
146,1.0,0.0,1.0,304.8,579.24,390662.0
147,0.0,0.0,2.0,602.8299999999999,597.5,357599.0
148,1.0,0.0,1.0,298.03,568.63,397208.0
149,0.0,0.0,1.0,298.03,295.52,372355.0
150,1.0,1.0,1.0,572.6099999999999,757.45,367028.0
151,1.0,1.0,0.0,274.58,461.93,365269.0
152,0.0,1.0,0.0,274.58,272.88,358796.0
153,1.0,1.0,1.0,578.37,837.33,381395.0
154,1.0,0.0,1.0,303.79,564.45,377050.0
155,0.0,0.0,2.0,573.86,567.8299999999999,348814.0
156,1.0,0.0,1.0,270.07,474.18999999999994,402985.0
157,0.0,0.0,1.0,270.07,267.96,368995.0
158,1.0,0.0,2.0,567.4200000000001,831.79,365882.0
159,1.0,0.0,1.0,297.35,563.8299999999999,388693.0
160,0.0,0.0,1.0,297.35,294.03,358003.0
161,1.0,1.0,1.0,576.1600000000001,776.74,390217.0
162,1.0,1.0,0.0,278.81,482.71,371496.0
163,0.0,1.0,1.0,569.5,563.66,344728.0
164,1.0,0.0,1.0,290.69,507.48,380303.0
165,0.0,0.0,2.0,578.51,571.52,364573.0
166,1.0,0.0,1.0,287.82,482.11,364847.0
167,1.0,0.0,1.0,287.82,482.11,394788.0
168,0.0,0.0,2.0,573.03,567.62,353512.0
169,1.0,1.0,1.0,579.3599999999999,843.1400000000001,394150.0
170,0.0,1.0,0.0,294.15,291.81,370801.0
171,0.0,1.0,0.0,294.15,291.81,344354.0
172,1.0,1.0,1.0,594.63,868.72,410135.0
173,0.0,0.0,1.0,300.48,295.75,366877.0
174,1.0,0.0,1.0,300.48,542.37,367498.0
175,1.0,0.0,2.0,594.3900000000001,832.3299999999999,368755.0
176,0.0,0.0,1.0,293.91,289.96,355284.0
177,1.0,0.0,1.0,293.91,520.8199999999999,350187.0
178,1.0,0.0,2.0,616.3900000000001,840.54,381017.0
179,0.0,0.0,1.0,322.48,319.72,355931.0
180,1.0,0.0,1.0,322.48,593.98,410611.0
181,0.0,1.0,1.0,595.83,590.8900000000001,359460.0
182,1.0,1.0,0.0,273.35,501.42,374231.0
183,1.0,1.0,0.0,273.35,501.42,412244.0
184,0.0,1.0,0.0,273.35,271.17,352286.0
185,1.0,0.0,1.0,288.08,476.86,394723.0
186,1.0,0.0,1.0,288.08,476.86,367570.0
187,0.0,0.0,2.0,571.92,563.25,365418.0
188,1.0,0.0,1.0,283.84,525.36,392692.0
189,0.0,0.0,2.0,580.8199999999999,574.24,360403.0
